place,url,scrape_time,day_of_week,hour_of_day,popularity_percent_normal,Base_Price
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,0,24,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,1,9,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,2,1,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,3,1,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,4,2,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,5,2,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,6,5,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,7,8,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,8,12,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,9,15,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,10,17,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,11,21,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,12,26,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,13,33,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,14,42,210
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,15,50,250
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,16,54,270
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,17,51,255
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,18,44,220
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,19,36,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,20,32,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,21,31,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,22,31,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,23,29,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,0,23,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,1,15,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,2,8,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,3,3,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,4,1,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,5,1,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,6,2,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,7,5,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,8,7,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,9,10,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,10,15,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,11,20,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,12,27,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,13,35,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,14,42,210
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,15,47,235
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,16,48,240
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,17,46,230
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,18,40,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,19,31,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,20,22,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,21,14,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,22,8,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,23,3,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,0,1,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,1,1,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,2,1,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,3,1,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,4,1,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,5,3,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,6,30,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,7,64,320
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,8,48,240
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,9,23,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,10,25,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,11,31,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,12,31,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,13,34,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,14,48,240
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,15,70,350
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,16,90,400
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,17,99,400
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,18,93,400
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,19,73,365
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,20,49,245
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,21,27,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,22,12,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,23,3,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,0,1,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,1,1,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,2,1,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,3,1,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,4,1,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,5,4,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,6,33,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,7,65,325
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,8,47,235
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,9,26,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,10,27,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,11,31,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,12,35,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,13,43,215
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,14,55,275
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,15,68,340
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,16,79,395
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,17,84,400
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,18,82,400
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,19,74,370
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,20,61,305
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,21,47,235
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,22,32,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,23,20,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Friday,0,11,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Friday,1,5,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Friday,2,1,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Friday,3,1,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Friday,4,1,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Friday,5,6,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Friday,6,30,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Friday,7,57,285
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Friday,8,48,240
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Friday,9,24,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Friday,10,23,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Friday,11,35,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Friday,12,39,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Friday,13,38,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Friday,14,45,225
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Friday,15,61,305
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Friday,16,79,395
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Friday,17,90,400
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Friday,18,88,400
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Friday,19,76,380
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Friday,20,57,285
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Friday,21,36,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Friday,22,20,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Friday,23,9,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Saturday,0,2,250
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Saturday,1,1,250
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Saturday,2,1,250
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Saturday,3,1,250
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Saturday,4,1,250
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Saturday,5,5,250
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Saturday,6,30,250
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Saturday,7,60,370
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Saturday,8,57,352
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Saturday,9,29,250
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Saturday,10,15,250
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Saturday,11,19,250
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Saturday,12,32,250
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Saturday,13,48,298
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Saturday,14,65,400
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Saturday,15,79,484
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Saturday,16,86,500
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Saturday,17,85,500
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Saturday,18,77,472
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Saturday,19,62,382
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Saturday,20,46,286
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Saturday,21,37,250
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Saturday,22,37,250
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Saturday,23,24,250
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Sunday,0,6,250
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Sunday,1,,250
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Sunday,2,1,250
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Sunday,3,1,250
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Sunday,4,5,250
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Sunday,5,13,250
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Sunday,6,23,250
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Sunday,7,33,250
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Sunday,8,41,256
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Sunday,9,43,268
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Sunday,10,38,250
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Sunday,11,31,250
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Sunday,12,27,250
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Sunday,13,33,250
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Sunday,14,51,316
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Sunday,15,77,472
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Sunday,16,97,500
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Sunday,17,100,500
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Sunday,18,82,500
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Sunday,19,56,346
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Sunday,20,38,250
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Sunday,21,36,250
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Sunday,22,42,262
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Sunday,23,39,250
